,Time,Status,ACErrorBF
0,3.9741058349609375,3.0,0.0
1,91.35724234580994,3.0,0.0
2,93.36593413352966,3.0,0.0
3,152.44573640823364,3.0,0.0
4,187.59403347969055,3.0,0.0
5,200.64927315711975,3.0,0.0
6,205.6706726551056,3.0,0.0
7,219.73165655136108,3.0,0.0
8,239.82951521873474,3.0,0.0
9,257.9463243484497,3.0,0.0
10,261.9702453613281,3.0,0.0
11,311.2063455581665,3.0,0.0
12,347.3612687587738,3.0,0.0
13,367.4522716999054,3.0,0.0
14,433.75173592567444,3.0,0.0
15,438.76634645462036,3.0,0.0
16,524.1028037071228,3.0,0.0
17,540.1731872558594,3.0,0.0
18,551.2217962741852,3.0,0.0
19,598.4239671230316,3.0,0.0
20,624.5350606441498,3.0,0.0
21,637.5914549827576,3.0,0.0
22,733.0094730854034,3.0,0.0
23,746.0667200088501,3.0,0.0
24,805.3280522823334,3.0,0.0
25,898.721645116806,3.0,0.0
26,984.0878777503967,3.0,0.0
27,1022.2532455921173,3.0,0.0
28,1072.4708003997803,3.0,0.0
29,1094.5669996738434,3.0,0.0
30,1098.584553718567,3.0,0.0
31,1119.6764466762543,3.0,0.0
32,1162.8650786876678,3.0,0.0
33,1165.8779304027557,3.0,0.0
34,1206.0534992218018,3.0,0.0
35,1367.7668788433075,3.0,0.0
36,1379.8210582733154,3.0,0.0
37,1388.8619766235352,3.0,0.0
38,1389.8662505149841,3.0,0.0
39,1434.0645053386688,3.0,0.0
40,1451.1422009468079,3.0,0.0
41,1551.5907580852509,3.0,0.0
42,1560.6306569576263,3.0,0.0
43,1568.6667897701263,3.0,0.0
44,1611.858508348465,3.0,0.0
45,1612.863008737564,3.0,0.0
46,1623.9122912883759,3.0,0.0
47,1655.0501372814178,3.0,0.0
48,1714.312712430954,3.0,0.0
49,1735.4060146808624,3.0,0.0
50,1809.735586643219,3.0,0.0
51,1861.9658193588257,3.0,0.0
52,1935.2896523475647,3.0,0.0
53,1943.3247890472412,3.0,0.0
54,1969.4398758411407,3.0,0.0
55,2057.8304641246796,3.0,0.0
56,2093.9896931648254,3.0,0.0
57,2126.131365299225,3.0,0.0
58,2145.2164993286133,3.0,0.0
59,2160.2812452316284,3.0,0.0
60,2173.338851451874,3.0,0.0
61,2176.3522369861603,3.0,0.0
62,2182.378749370575,3.0,0.0
63,2187.400906085968,3.0,0.0
64,2222.555296421051,3.0,0.0
65,2265.7456262111664,3.0,0.0
66,2311.949184179306,3.0,0.0
67,2327.0157403945923,3.0,0.0
68,2351.1218962669373,3.0,0.0
69,2379.245079278946,3.0,0.0
70,2380.2497391700745,3.0,0.0
71,2389.2893629074097,3.0,0.0
72,2588.1619880199432,3.0,0.0
73,2595.19292140007,3.0,0.0
74,2603.228143930435,3.0,0.0
75,2620.3031492233276,3.0,0.0
76,2634.3647162914276,3.0,0.0
77,2649.4308733940125,3.0,0.0
78,2655.457556247711,3.0,0.0
79,2694.629358291626,3.0,0.0
80,2709.6955256462097,3.0,0.0
81,2788.039621114731,3.0,0.0
82,2813.1497189998627,3.0,0.0
83,2944.7278950214386,3.0,0.0
84,2945.732458114624,3.0,0.0
85,3069.276921749115,3.0,0.0
86,3091.3737919330597,3.0,0.0
87,3163.691843509674,3.0,0.0
88,3203.868530511856,3.0,0.0
89,3327.4111318588257,3.0,0.0
90,3404.7511115074158,3.0,0.0
91,3408.769364118576,3.0,0.0
92,3471.0421006679535,3.0,0.0
93,3507.201307296753,3.0,0.0
94,3541.35240316391,3.0,0.0
