,Time,Vinv,Iinv,Finv
0,0.0049839019775390625,119.9,0.2,59.99
1,12.322083950042725,119.5,21.1,59.99
2,14.58180546760559,119.5,21.3,59.99
3,18.599285364151,119.5,21.0,59.99
4,31.90855383872986,119.5,21.1,59.99
5,60.031646490097046,119.5,20.9,59.99
6,64.04935359954834,119.4,21.1,59.99
7,82.8815438747406,119.5,21.1,59.99
8,93.67907476425171,119.5,21.0,59.99
9,103.47198462486267,119.6,21.3,59.99
10,112.76262164115906,119.5,21.5,59.99
11,113.01344180107117,119.3,21.4,59.99
12,113.76695466041565,119.3,21.4,59.99
13,115.77575516700745,119.5,21.3,59.99
14,142.14113545417786,119.5,21.3,59.99
15,145.15419936180115,119.4,21.2,59.99
16,146.9124641418457,119.5,21.1,59.99
17,170.51581525802612,119.5,21.1,59.99
18,179.80717992782593,119.4,21.2,59.99
19,186.58683323860168,119.4,21.2,59.99
20,189.59990978240967,119.5,21.2,59.99
21,192.11116528511047,119.4,21.2,59.99
22,195.37542462348938,119.5,21.0,59.99
23,195.87751126289368,119.5,21.0,59.99
24,208.43265175819397,119.5,21.1,59.99
25,215.71461033821106,119.4,21.2,59.99
26,216.97012162208557,119.5,21.1,59.99
27,223.4984860420227,119.5,21.1,59.99
28,228.01827716827393,119.5,21.3,59.99
29,230.27809190750122,119.5,21.2,59.99
30,236.80677580833435,119.5,21.0,59.99
31,252.62609314918518,119.5,21.1,59.99
32,265.93418622016907,119.5,21.1,59.99
33,291.04459023475647,119.5,21.2,59.99
34,307.86898469924927,119.5,21.1,59.99
35,308.62229108810425,119.5,21.1,59.99
36,327.4549334049225,119.4,21.2,59.99
37,342.01862478256226,119.5,21.1,59.99
38,347.54293966293335,119.5,21.1,59.99
39,348.5475571155548,119.4,21.0,59.99
40,350.05389976501465,119.5,21.2,59.99
41,366.8774175643921,119.4,21.3,59.99
42,371.8994822502136,119.3,21.2,59.99
43,383.45013451576233,119.5,21.0,59.99
44,390.48106145858765,119.5,21.0,59.99
45,397.260840177536,119.3,21.0,59.99
46,417.09746265411377,119.5,21.1,59.99
47,436.6835069656372,119.3,21.2,59.99
48,447.22980785369873,119.5,21.3,59.99
49,452.50267243385315,119.5,21.1,59.99
50,455.5161678791046,119.6,21.1,59.99
51,467.3176381587982,119.5,21.1,59.99
52,470.83303141593933,119.4,21.1,59.99
53,477.61272978782654,119.5,21.2,59.99
54,494.1854979991913,119.5,21.0,59.99
55,495.44073271751404,119.5,20.9,59.99
56,497.4494559764862,119.4,20.9,59.99
57,514.2732949256897,119.5,21.2,59.99
58,528.8370382785797,119.5,21.0,59.99
59,539.3842680454254,119.5,21.0,59.99
60,542.3974730968475,119.5,21.0,59.99
61,549.1772541999817,119.5,21.2,59.99
62,556.4589841365814,119.5,21.3,59.99
63,558.2168743610382,119.5,21.1,59.99
64,564.9960465431213,119.5,21.0,59.99
65,588.095067024231,119.5,21.3,59.99
66,589.0997993946075,119.5,21.3,59.99
67,590.3544600009918,119.5,21.5,59.99
68,616.4661974906921,119.5,21.1,59.99
69,635.799311876297,119.6,21.0,59.99
70,652.6214158535004,119.6,21.1,59.99
71,674.7163350582123,119.4,21.1,59.99
72,683.7552886009216,119.5,21.0,59.99
73,685.010710477829,119.5,21.0,59.99
74,689.781341791153,119.5,21.1,59.99
75,691.0365376472473,119.5,21.1,59.99
76,694.3005254268646,119.5,21.3,59.99
77,708.1101362705231,119.5,21.2,59.99
78,708.8633096218109,119.5,21.0,59.99
79,723.928106546402,119.5,21.1,59.99
80,731.4603314399719,119.4,21.3,59.99
81,735.226667881012,119.3,21.2,59.99
82,743.26105260849,119.4,21.2,59.99
83,744.516523361206,119.5,21.2,59.99
84,745.2697291374207,119.4,21.2,59.99
85,756.0669391155243,119.5,21.0,59.99
86,761.8416531085968,119.5,21.1,59.99
87,762.8460805416107,119.5,21.2,59.99
88,770.3783164024353,119.5,21.2,59.99
89,785.94553399086,119.3,21.0,59.99
90,786.9500589370728,119.5,21.0,59.99
91,805.5299365520477,119.5,21.3,59.99
92,806.2831902503967,119.5,21.3,59.99
93,821.5994493961334,119.5,21.0,59.99
94,828.1276304721832,119.4,21.0,59.99
95,846.7080001831055,119.5,21.3,59.99
96,857.2531862258911,119.5,21.0,59.99
97,868.3011901378632,119.5,21.1,59.99
98,879.8514361381531,119.4,21.3,59.99
99,880.6041703224182,119.5,21.3,59.99
100,891.9029350280762,119.6,21.0,59.99
