,Time,Vinv,Iinv,Finv
0,10.052488327026367,120.0,21.0,59.99
1,19.593825340270996,120.0,21.0,59.99
2,32.40065884590149,120.1,21.0,59.99
3,32.651429414749146,119.9,21.1,59.99
4,41.94183015823364,120.0,21.1,59.99
5,49.97685384750366,120.1,20.9,59.99
6,60.5226149559021,119.9,21.0,59.99
7,79.85678839683533,119.9,21.1,59.99
8,88.64521288871765,120.0,20.8,59.99
9,94.9234676361084,120.0,21.0,59.99
10,106.72491908073425,120.0,21.1,59.99
11,109.48711895942688,119.9,21.0,59.99
12,140.37128615379333,120.0,21.2,59.99
13,143.13345575332642,119.9,21.0,59.99
14,158.45038604736328,120.0,20.9,59.99
15,164.47647213935852,120.0,20.9,59.99
16,174.77114415168762,119.9,21.1,59.99
17,181.29951000213623,119.9,21.1,59.99
18,187.07473850250244,120.0,21.0,59.99
19,198.87681198120117,120.0,20.9,59.99
20,201.63822221755981,120.0,21.0,59.99
21,211.4309856891632,120.0,21.2,59.99
22,213.18893814086914,119.9,21.2,59.99
23,216.45275020599365,119.9,21.1,59.99
24,223.73479008674622,119.9,21.1,59.99
25,241.31118774414062,120.1,21.0,59.99
26,241.8133189678192,120.0,21.0,59.99
27,252.35910201072693,119.9,21.2,59.99
28,254.36793756484985,120.0,21.1,59.99
29,256.1255967617035,120.0,21.1,59.99
30,258.8877546787262,120.0,21.0,59.99
31,274.20446944236755,120.0,20.9,59.99
32,291.7810196876526,120.0,21.0,59.99
33,293.0366361141205,120.0,21.0,59.99
34,299.56487798690796,119.9,20.9,59.99
35,301.07153820991516,120.0,20.8,59.99
36,309.3580825328827,119.9,20.8,59.99
37,311.11512541770935,119.9,20.9,59.99
38,317.39271116256714,119.9,21.1,59.99
39,320.15463852882385,119.9,21.1,59.99
40,331.20320773124695,119.9,21.1,59.99
41,332.45833015441895,120.0,21.1,59.99
42,356.3121600151062,119.9,21.1,59.99
43,358.32110023498535,119.9,21.1,59.99
44,361.3341283798218,119.9,21.3,59.99
45,376.65099906921387,120.0,21.0,59.99
46,379.1619641780853,120.0,20.9,59.99
47,390.96357798576355,120.0,21.0,59.99
48,395.4832401275635,120.0,21.1,59.99
49,399.24950194358826,120.1,21.1,59.99
50,403.7691261768341,119.9,21.1,59.99
51,405.2757360935211,120.0,21.1,59.99
52,407.53571462631226,120.0,21.2,59.99
53,411.8043713569641,119.9,20.9,59.99
54,412.30647468566895,120.0,20.9,59.99
55,418.3325397968292,120.0,20.9,59.99
56,425.36338233947754,120.1,21.0,59.99
57,436.1603031158447,120.0,21.0,59.99
58,437.66675662994385,119.9,21.1,59.99
59,454.7415044307709,119.9,20.9,59.99
60,457.5035254955292,119.8,20.9,59.99
61,496.1721727848053,120.1,20.9,59.99
62,498.4320068359375,119.9,20.9,59.99
63,502.4495165348053,120.0,21.1,59.99
64,509.22908329963684,120.0,21.1,59.99
65,514.0000808238983,120.0,21.0,59.99
66,522.2858777046204,120.0,21.1,59.99
67,523.5416288375854,119.9,21.2,59.99
68,538.6071844100952,120.0,21.0,59.99
69,539.8624260425568,119.9,21.2,59.99
70,549.404393196106,119.9,21.1,59.99
71,550.1574087142944,120.0,21.1,59.99
72,558.192634344101,120.0,20.9,59.99
73,575.2670357227325,120.0,21.2,59.99
74,577.0246877670288,119.9,21.1,59.99
75,580.0381519794464,119.8,21.2,59.99
76,592.0913283824921,119.9,20.8,59.99
77,593.5980203151703,120.1,20.9,59.99
78,597.8664665222168,120.0,20.8,59.99
79,602.1351561546326,119.9,20.8,59.99
80,602.6374809741974,119.9,20.8,59.99
81,603.6416172981262,120.0,20.8,59.99
82,607.1571087837219,119.9,20.9,59.99
83,619.9629218578339,119.9,21.1,59.99
84,651.6011922359467,119.9,21.2,59.99
85,657.3760106563568,120.0,21.0,59.99
86,660.3891551494598,120.0,21.0,59.99
87,680.978997707367,120.0,20.9,59.99
88,686.252195596695,119.9,21.0,59.99
89,698.806946516037,120.0,20.8,59.99
90,702.8244831562042,119.9,21.0,59.99
91,714.3761789798737,119.9,20.8,59.99
92,725.4242377281189,119.9,21.0,59.99
93,727.1818218231201,119.9,20.9,59.99
94,728.6883494853973,119.9,21.0,59.99
95,736.2211241722107,120.1,21.0,59.99
96,740.7407681941986,120.0,20.8,59.99
97,741.9964878559113,120.0,20.8,59.99
98,745.5121593475342,119.9,20.9,59.99
99,752.793919801712,119.9,21.0,59.99
100,761.0800156593323,119.9,21.0,59.99
101,764.3441288471222,120.0,21.1,59.99
102,767.6083889007568,120.0,21.0,59.99
103,778.9077649116516,119.9,20.9,59.99
104,781.4186155796051,119.9,21.0,59.99
105,789.9559152126312,119.9,21.0,59.99
106,793.2200682163239,120.0,21.0,59.99
107,796.2333219051361,120.1,21.0,59.99
108,797.7398054599762,120.0,21.0,59.99
109,798.9954452514648,120.0,21.2,59.99
110,807.5338289737701,119.9,21.0,59.99
111,827.8726363182068,120.1,21.0,59.99
112,834.1500823497772,119.9,21.0,59.99
113,836.4098250865936,119.9,21.2,59.99
114,855.241866350174,120.0,20.9,59.99
115,857.5017178058624,119.9,20.9,59.99
116,858.7571103572845,120.0,20.8,59.99
117,864.7837812900543,119.9,21.1,59.99
118,874.3254086971283,119.9,21.2,59.99
119,898.179446220398,120.0,21.1,59.99
