,Time,Winv,VAinv
0,22.392431497573853,2511.47,2541.55
1,31.432056665420532,2522.19,2502.59
2,126.34813928604126,2502.94,2534.31
3,197.47319102287292,2505.6,2547.98
4,203.4989995956421,2509.44,2539.68
5,218.06178855895996,2516.07,2531.71
6,257.531368970871,2504.66,2513.18
7,261.5538139343262,2503.52,2539.63
8,265.57560324668884,2495.02,2535.38
9,425.55836296081543,2510.12,2539.22
10,434.34088802337646,2514.36,2500.5
11,445.3743097782135,2506.85,2535.73
12,471.2183258533478,2525.48,2524.12
13,471.9712586402893,2525.48,2524.12
14,494.3127644062042,2503.68,2528.32
15,542.5210611820221,2512.19,2510.24
16,546.5384156703949,2516.14,2524.27
17,639.6879239082336,2500.79,2553.09
18,690.6603674888611,2528.52,2550.93
19,713.2596805095673,2499.89,2545.11
20,741.7120082378387,2494.99,2538.36
21,757.782876253128,2512.82,2523.35
22,800.2210223674774,2515.87,2517.41
23,801.9801480770111,2513.67,2526.33
24,841.146900177002,2499.96,2506.06
25,885.3344986438751,2497.24,2548.24
26,896.8832502365112,2500.94,2534.58
27,918.9799675941467,2503.06,2543.73
28,969.9492633342743,2509.65,2530.99
29,988.025205373764,2502.37,2521.35
30,1006.6054782867432,2506.84,2535.51
31,1112.066535949707,2504.8,2562.16
32,1115.8329434394836,2504.92,2534.51
33,1145.213007926941,2492.65,2533.33
34,1168.3129568099976,2507.62,2518.85
35,1268.7531399726868,2512.17,2508.37
36,1319.9771971702576,2497.99,2515.78
37,1375.4768409729004,2508.22,2535.15
38,1381.2527024745941,2518.91,2506.99
39,1446.0447914600372,2503.11,2528.26
40,1454.583027124405,2517.66,2517.82
41,1479.9462559223175,2495.08,2533.89
42,1520.8796586990356,2516.02,2535.75
43,1521.1306626796722,2516.02,2535.75
44,1645.684143781662,2499.23,2519.28
45,1677.575228214264,2509.74,2501.77
46,1695.9069383144379,2502.68,2553.77
47,1734.075570821762,2506.66,2542.65
48,1783.544228553772,2514.84,2520.89
49,1786.5573024749756,2509.1,2509.5
50,1869.4244618415833,2485.02,2518.32
51,1870.6800215244293,2488.89,2547.61
52,1878.966679573059,2502.59,2542.76
53,1921.1523010730743,2506.26,2529.52
54,1923.1611886024475,2507.9,2524.49
55,1940.9899926185608,2497.11,2523.97
56,1955.052127122879,2500.82,2524.17
57,1970.118574142456,2510.05,2500.18
58,1995.9824259281158,2515.67,2524.68
59,2008.789036989212,2501.72,2503.99
60,2014.0632328987122,2492.31,2513.9
61,2014.3140602111816,2492.31,2513.9
62,2023.3540349006653,2498.54,2567.39
63,2063.7821345329285,2494.27,2516.59
64,2076.3374321460724,2514.32,2510.62
65,2079.852924823761,2503.98,2483.35
66,2083.8706946372986,2498.96,2512.29
67,2164.224091529846,2494.73,2513.43
68,2171.757444858551,2498.29,2533.97
69,2187.3262922763824,2507.9,2490.91
70,2360.0865712165833,2515.75,2522.34
71,2363.351014614105,2515.01,2505.39
72,2434.4124727249146,2517.73,2517.33
73,2449.478579521179,2494.37,2524.95
74,2455.254052400589,2485.23,2525.26
75,2459.020358800888,2500.1,2551.4
76,2486.1397066116333,2495.72,2524.65
77,2514.5143616199493,2511.34,2506.63
78,2567.998729944229,2488.65,2536.08
79,2574.7784707546234,2505.12,2526.24
80,2577.540501832962,2506.96,2508.0
81,2611.6905641555786,2504.47,2511.44
82,2634.2899582386017,2498.7,2534.0
83,2648.853899717331,2504.94,2527.54
84,2721.171442747116,2510.18,2540.05
85,2726.695838689804,2517.26,2525.58
86,2759.087835073471,2508.26,2526.72
87,2827.8906395435333,2494.94,2526.12
88,2839.44122171402,2520.33,2519.65
89,2859.780188560486,2495.42,2551.52
90,2879.6173679828644,2514.32,2498.75
91,2881.877125263214,2511.34,2512.29
92,2927.5783338546753,2500.37,2521.19
93,2989.3494770526886,2522.41,2514.52
94,3038.0637402534485,2503.94,2534.46
95,3060.161470890045,2516.56,2509.26
96,3065.1838216781616,2510.22,2500.31
97,3067.443621635437,2504.97,2510.77
98,3095.567818403244,2512.21,2510.24
99,3103.8539667129517,2508.18,2519.11
100,3179.436095714569,2489.71,2514.1
101,3220.868489265442,2497.57,2549.63
102,3324.071848154068,2494.36,2524.25
103,3356.9665253162384,2506.35,2509.0
104,3366.759413957596,2497.15,2530.45
105,3369.270441532135,2496.07,2536.67
106,3389.6098194122314,2516.8,2535.09
107,3391.618738889694,2510.8,2498.58
108,3423.5088968276978,2526.18,2522.01
109,3471.469426870346,2497.01,2517.46
110,3503.3599009513855,2505.96,2529.48
111,3509.135518550873,2499.71,2539.13
112,3538.7654480934143,2515.54,2504.21
