,Time,Vin,Iin,Fin
0,26.386147260665894,119.8,0.5,60.16
1,35.676982164382935,119.5,0.4,60.14
2,41.20078420639038,119.7,0.3,60.01
3,43.71205115318298,119.8,0.4,59.81
4,55.513543367385864,119.7,0.3,59.96
5,62.042136907577515,119.7,0.5,60.03
6,62.79541230201721,119.8,1.2,59.84
7,78.6147940158844,119.8,0.6,59.94
8,97.94937229156494,119.7,0.4,60.22
9,98.95367956161499,119.8,0.4,60.28
10,104.72904706001282,119.7,0.6,60.18
11,106.23580360412598,119.7,0.4,60.07
12,109.2488911151886,119.7,0.5,60.07
13,110.50422644615173,119.6,0.5,60.15
14,116.78189611434937,119.6,0.4,60.22
15,139.38069558143616,119.8,0.7,59.85
16,158.21331334114075,119.9,0.4,60.0
17,159.468976020813,119.8,0.4,60.06
18,159.71999502182007,119.8,0.4,60.06
19,162.23174023628235,119.7,0.4,60.0
20,165.49529433250427,119.7,0.4,60.29
21,171.0193932056427,119.7,0.4,60.06
22,179.30688953399658,119.7,0.4,60.16
23,182.5708930492401,119.7,0.4,60.26
24,190.85744261741638,119.8,0.4,59.76
25,196.3814399242401,119.7,0.4,59.88
26,203.91439986228943,119.8,0.4,59.81
27,205.17009472846985,119.7,0.4,59.99
28,211.69854712486267,119.7,0.4,60.23
29,214.96294569969177,119.7,0.4,59.9
30,218.22717094421387,119.5,0.4,60.01
31,223.2491798400879,119.7,0.4,60.28
32,225.00678372383118,119.8,0.5,59.95
33,231.78650736808777,119.7,0.5,60.11
34,234.29748582839966,119.7,0.3,60.0
35,239.57102036476135,119.8,0.4,59.88
36,241.83043241500854,119.7,0.4,59.81
37,242.33279848098755,119.7,0.4,59.81
38,256.39450693130493,119.7,0.5,59.78
39,265.68501591682434,119.7,0.4,59.99
40,266.94032526016235,119.7,0.6,59.81
41,274.22247982025146,119.8,0.5,59.83
42,280.50005197525024,119.7,0.4,59.96
43,289.7907176017761,119.6,0.4,60.05
44,294.05940341949463,119.5,0.4,60.22
45,317.161495923996,119.8,0.5,59.68
46,319.4212119579315,119.7,0.5,60.11
47,323.9412124156952,119.7,0.4,60.15
48,330.2187671661377,119.8,0.4,59.98
49,332.7298984527588,119.7,0.4,60.07
50,352.81766629219055,119.7,0.5,59.8
51,357.3374602794647,119.9,0.4,60.28
52,370.3948016166687,119.8,0.5,59.75
53,398.5183575153351,119.8,0.4,59.97
54,404.54438829421997,119.8,0.4,59.78
55,409.81743001937866,119.7,0.5,60.19
56,417.85294246673584,119.7,0.5,60.06
57,422.6236083507538,119.7,0.5,60.13
58,467.8215456008911,119.6,0.6,60.14
59,470.5837824344635,119.7,0.4,59.96
60,473.34589433670044,119.7,0.4,59.88
61,510.2575557231903,119.7,0.6,59.94
62,523.0637149810791,119.6,0.6,60.01
63,525.0724124908447,119.7,0.4,60.26
64,525.323522567749,119.7,0.4,60.26
65,574.0365483760834,119.7,0.5,60.06
66,578.0534505844116,119.7,0.6,59.87
67,601.9056627750397,119.8,0.6,59.93
68,605.4208414554596,119.8,0.3,60.0
69,607.9315967559814,119.8,0.6,60.19
70,608.182475566864,119.7,0.9,59.99
71,635.2989282608032,119.8,0.6,60.08
72,636.8053967952728,119.7,0.6,60.12
73,638.8142614364624,119.7,0.4,59.85
74,643.0825605392456,119.7,0.6,59.9
75,664.1730759143829,119.6,0.4,59.87
76,691.5406377315521,119.7,0.5,60.28
77,693.5491073131561,119.8,0.4,60.08
78,693.8004732131958,119.8,0.4,60.08
79,696.3109948635101,119.8,0.5,60.05
80,710.8735556602478,119.7,0.4,59.9
81,734.4752223491669,119.6,0.4,60.09
82,739.4966640472412,119.7,0.4,60.1
83,740.2503609657288,119.7,0.4,60.15
84,749.0379064083099,119.8,0.5,60.25
85,757.8261289596558,119.7,0.4,60.0
86,766.3629906177521,119.7,0.5,59.83
87,773.3931901454926,119.7,0.8,59.69
88,779.4190754890442,119.8,0.4,60.25
89,782.1809368133545,119.7,0.4,59.74
90,788.7090952396393,119.8,0.4,59.75
91,795.2372486591339,119.7,0.5,59.93
92,804.5273976325989,119.7,0.6,60.0
93,805.2806689739227,119.9,0.6,60.23
94,810.5535237789154,119.8,0.5,59.91
95,811.3068227767944,119.8,0.4,60.06
96,821.8524441719055,119.7,0.6,59.93
97,822.3547854423523,119.7,0.4,59.83
98,823.3588128089905,119.7,0.5,60.05
99,840.9345602989197,119.7,0.8,59.96
100,851.7313270568848,119.8,0.4,59.74
101,861.2726001739502,119.7,0.4,59.92
102,867.5494976043701,119.8,0.4,59.87
103,870.3116173744202,119.8,0.4,60.3
104,886.6319401264191,119.8,0.4,59.88
105,891.1518111228943,119.7,0.5,60.01
106,893.6625123023987,119.9,0.4,60.25
107,899.1863784790039,119.7,0.8,59.82
108,899.6883637905121,119.7,0.4,59.94
