,Time,Vin,Iin,Fin
0,3.813194990158081,119.6,0.5,60.12
1,23.90121054649353,119.6,0.5,60.15
2,40.976125717163086,119.6,0.6,59.97
3,49.011173248291016,119.7,0.3,60.14
4,69.09957361221313,119.4,0.5,60.19
5,84.66756463050842,119.7,0.5,60.17
6,104.00217008590698,119.5,0.5,60.17
7,186.4289972782135,119.5,0.4,59.88
8,242.43857645988464,119.6,0.5,59.91
9,260.802143573761,119.6,0.5,60.07
10,320.5843801498413,119.8,0.4,60.24
11,382.86252212524414,119.7,0.6,59.8
12,389.1412878036499,119.6,0.7,59.74
13,407.97857093811035,119.6,0.5,60.09
14,419.53259325027466,119.7,0.4,60.17
15,527.4569525718689,119.7,0.6,60.24
16,532.2278938293457,119.6,0.5,60.18
17,633.4128937721252,119.8,0.5,59.96
18,681.3720734119415,119.6,0.6,59.94
19,727.9042472839355,119.6,0.5,59.82
20,800.4742307662964,119.6,1.0,60.02
21,863.2413930892944,119.6,0.4,59.95
22,940.8242239952087,119.6,0.8,59.93
23,953.3782815933228,119.7,0.8,59.89
24,963.421624660492,119.6,0.5,59.83
25,963.6725685596466,119.6,0.5,59.83
26,977.2321424484253,119.6,0.6,59.95
27,1005.1032693386078,119.7,0.6,60.01
28,1066.117949962616,119.7,0.6,60.14
29,1089.9726700782776,119.6,0.4,60.08
30,1182.6277284622192,119.6,0.7,60.15
31,1183.3810150623322,119.7,0.4,59.77
32,1198.6978805065155,119.7,0.6,60.17
33,1225.31436753273,119.6,0.6,59.81
34,1305.9181475639343,119.8,0.4,59.76
35,1309.4336714744568,119.6,0.6,60.0
36,1331.7821152210236,119.7,0.4,60.15
37,1332.2846536636353,119.7,0.4,60.15
38,1426.7093880176544,119.6,0.4,59.95
39,1452.5764265060425,119.7,0.5,60.05
40,1531.6795678138733,119.5,0.5,60.24
41,1555.033996105194,119.6,0.5,60.05
42,1574.6208953857422,119.6,0.4,60.09
43,1624.5931346416473,119.6,0.6,59.66
44,1631.8751678466797,119.6,0.6,59.79
45,1638.1530232429504,119.6,0.7,59.93
46,1643.1752562522888,119.5,0.4,60.04
47,1675.3174822330475,119.7,0.5,60.27
48,1713.7379512786865,119.5,1.3,60.13
49,1785.5552825927734,119.6,0.7,59.83
50,1798.1106131076813,119.6,0.8,59.98
51,1798.612800836563,119.6,0.8,59.98
52,1815.6896440982819,119.5,0.6,60.05
53,1819.456133365631,119.6,0.8,59.87
54,1875.7043368816376,119.6,0.9,59.85
55,1895.2906732559204,119.5,0.5,60.08
56,1923.163688659668,119.5,0.9,60.25
57,1984.6851136684418,119.6,1.4,59.8
58,1986.693837404251,119.6,0.6,60.15
59,2012.8087000846863,119.7,0.7,59.84
60,2061.2732813358307,119.6,0.5,60.05
61,2103.9610912799835,119.7,0.6,59.94
62,2107.978947162628,119.8,0.6,60.01
63,2112.4988465309143,119.6,0.5,59.73
64,2236.042620420456,119.7,0.6,59.79
65,2302.334708213806,119.5,0.5,60.03
66,2323.176331281662,119.6,0.7,60.11
67,2348.789386987686,119.6,0.4,60.04
68,2373.1461987495422,119.5,0.7,59.98
69,2391.9786398410797,119.6,0.7,60.16
70,2546.6574082374573,119.6,0.8,60.09
71,2555.445867061615,119.5,0.6,59.94
72,2594.1157262325287,119.6,1.0,60.08
73,2603.155435323715,119.6,0.6,59.87
74,2603.406740427017,119.7,0.4,60.26
75,2614.2039079666138,119.5,0.6,60.13
76,2683.2574846744537,119.4,0.8,60.25
77,2694.054524898529,119.7,0.5,60.21
78,2700.332141637802,119.6,0.3,60.13
79,2718.662844657898,119.7,0.6,60.06
80,2778.42511177063,119.6,0.5,59.85
81,2782.191654920578,119.6,0.6,60.19
82,2806.0466129779816,119.5,0.4,60.22
83,2813.8306386470795,119.4,0.5,60.07
84,2968.259129047394,119.6,0.5,59.75
85,2996.3825352191925,119.5,0.5,59.99
86,3037.5635282993317,119.5,0.9,59.93
87,3120.1780548095703,119.7,0.5,60.05
88,3169.8967702388763,119.5,0.7,60.26
89,3252.2586739063263,119.6,0.4,59.75
90,3308.254816055298,119.6,0.4,59.77
91,3393.8811509609222,119.6,0.4,59.78
92,3490.555549621582,119.6,0.6,59.94
93,3497.837817430496,119.7,0.4,60.1
94,3525.9613773822784,119.7,0.5,60.03
