,Time,Win,VAin
0,0.004202127456665039,0.0,0.0
1,0.5136990547180176,0.14,78.28
2,12.817403316497803,1.27,132.35
3,38.17840838432312,-1.55,86.88
4,60.77695035934448,3.97,72.9
5,66.80300498008728,2.5,67.91
6,72.57795095443726,0.63,78.76
7,72.82920026779175,-0.21,92.62
8,77.59984612464905,4.7,52.1
9,90.40560936927795,-0.94,53.62
10,92.91801476478577,-1.76,53.08
11,97.4373848438263,2.13,73.15
12,98.44173288345337,1.24,67.62
13,99.1951413154602,0.18,81.4
14,128.32159161567688,4.65,56.46
15,137.86333417892456,3.88,57.14
16,139.87237882614136,2.7,77.07
17,143.88959002494812,3.74,56.72
18,149.41388058662415,1.2,58.93
19,152.92895793914795,-0.18,64.47
20,155.1887984275818,1.96,72.18
21,172.0119812488556,0.45,55.79
22,180.04700136184692,2.77,51.25
23,195.61469173431396,2.13,48.82
24,197.87454795837402,0.32,106.83
25,242.5693109035492,0.7,63.86
26,257.38386631011963,1.22,76.46
27,259.89475274086,4.48,105.91
28,267.6789360046387,-0.83,60.2
29,267.9299519062042,-0.83,60.2
30,274.9607825279236,-0.88,55.8
31,277.2204535007477,-1.79,71.02
32,282.9955201148987,-3.26,77.35
33,285.50647592544556,-0.74,75.25
34,288.7707691192627,1.23,74.8
35,291.0305263996124,-1.07,61.95
36,313.1267430782318,0.34,56.05
37,313.628933429718,0.34,56.05
38,327.4394223690033,4.47,79.12
39,341.24965238571167,-1.29,67.32
40,347.27586555480957,-1.97,64.88
41,351.7955105304718,5.45,51.91
42,354.30632066726685,4.82,59.69
43,355.0596673488617,4.26,69.49
44,362.0901596546173,0.71,57.88
45,362.5926260948181,0.71,57.88
46,370.3764820098877,2.43,61.18
47,370.87852334976196,2.43,61.18
48,373.89182305336,1.87,76.16
49,379.1647427082062,4.99,119.87
50,389.4600133895874,2.65,48.0
51,397.74572229385376,1.03,82.76
52,401.0105285644531,-0.22,88.28
53,405.2785921096802,0.45,56.38
54,423.1062180995941,2.43,70.44
55,445.9559726715088,0.82,80.77
56,486.1314685344696,-0.34,78.72
57,487.135379076004,4.27,83.03
58,487.8887445926666,3.23,104.03
59,497.93257331848145,3.58,59.17
60,503.4566581249237,-0.34,55.75
61,504.9632306098938,0.18,66.47
62,512.9982354640961,1.21,56.82
63,530.0726370811462,-0.13,61.79
64,545.8915491104126,0.26,69.84
65,546.6453495025635,0.26,69.84
66,558.1954021453857,0.25,57.19
67,561.4594571590424,0.7,62.58
68,562.7151782512665,1.19,84.42
69,569.2438161373138,0.48,74.19
70,571.7545373439789,0.05,59.94
71,584.8116292953491,-2.23,86.08
72,594.8563725948334,-2.67,69.65
73,606.1556749343872,-1.4,58.62
74,611.4286034107208,2.05,77.74
75,619.9658913612366,4.23,66.83
76,628.0010144710541,2.63,59.75
77,633.0227835178375,-1.11,61.98
78,638.0447192192078,0.95,138.61
79,662.6519484519958,1.39,68.87
80,663.4053401947021,1.47,72.53
81,689.7705752849579,4.72,123.06
82,692.7835321426392,2.15,112.07
83,703.3304171562195,2.85,63.79
84,705.5904681682587,0.6,84.0
85,717.6428959369659,0.62,51.27
86,722.6647880077362,-0.88,70.58
87,741.2456912994385,1.35,57.3
88,753.0477817058563,3.97,77.94
89,757.5674164295197,0.6,97.85
90,771.377697467804,1.71,58.46
91,783.4302043914795,1.11,62.92
92,787.1967649459839,2.54,48.68
93,787.9498915672302,2.71,81.61
94,806.2812733650208,1.53,65.52
95,824.1089446544647,2.51,53.77
96,874.0770177841187,-0.08,67.96
97,875.0815026760101,0.51,67.46
98,894.6667773723602,-1.37,75.5
99,896.4244639873505,-3.83,59.5
