,Time,Win,VAin
0,39.06507992744446,2552.28,2559.24
1,79.99490165710449,2542.39,2548.19
2,107.36539363861084,2563.68,2564.44
3,123.43580555915833,2537.54,2566.54
4,135.7397849559784,2548.4,2596.72
5,149.04804754257202,2558.83,2557.0
6,178.92965292930603,2557.59,2553.34
7,179.93392181396484,2558.46,2560.44
8,283.6397523880005,2550.33,2574.49
9,342.90048694610596,2540.8,2584.6
10,368.26169538497925,2561.83,2548.12
11,446.85744976997375,2548.61,2543.28
12,512.1442708969116,2563.1,2558.21
13,613.8425042629242,2553.54,2584.8
14,661.8036723136902,2561.49,2548.44
15,684.4031474590302,2542.36,2588.22
16,711.0203993320465,2535.92,2568.64
17,740.9012539386749,2549.1,2555.28
18,780.5735042095184,2531.33,2580.4
19,795.6379199028015,2551.0,2576.66
20,892.0529716014862,2538.05,2587.0
21,907.36874127388,2555.23,2570.41
22,913.3948781490326,2567.57,2574.45
23,924.9445908069611,2540.11,2557.39
24,996.2530927658081,2544.94,2578.64
25,1013.3265609741211,2553.83,2595.89
26,1028.1405897140503,2550.48,2552.27
27,1030.9023156166077,2550.99,2579.22
28,1081.873715877533,2536.84,2575.4
29,1086.1424634456635,2548.45,2574.33
30,1138.6193799972534,2542.41,2556.88
31,1143.8923938274384,2538.9,2577.58
32,1157.4510655403137,2544.7,2566.6
33,1186.5773940086365,2533.97,2585.15
34,1211.4352781772614,2552.09,2542.34
35,1215.954645395279,2547.04,2572.01
36,1353.3011319637299,2563.15,2557.41
37,1358.3232417106628,2559.9,2547.12
38,1393.2250351905823,2562.85,2562.31
39,1401.2599680423737,2541.69,2563.13
40,1414.3168301582336,2547.4,2598.26
41,1478.0946485996246,2539.65,2570.28
42,1480.1032996177673,2541.11,2571.47
43,1599.1237802505493,2555.12,2565.44
44,1612.1805906295776,2552.05,2571.26
45,1647.0827496051788,2554.39,2553.57
46,1650.0960919857025,2554.4,2578.88
47,1736.7243411540985,2535.65,2556.24
48,1740.4907624721527,2549.82,2583.33
49,1751.5388576984406,2557.85,2555.45
50,1766.3535704612732,2542.34,2592.36
51,1813.8121728897095,2543.13,2568.48
52,1848.463305234909,2544.15,2585.03
53,1854.9919729232788,2563.01,2580.65
54,1941.3695316314697,2554.59,2550.51
55,1961.7086679935455,2545.66,2582.62
56,2002.6382911205292,2560.75,2575.91
57,2042.3121180534363,2562.76,2569.66
58,2141.24590921402,2543.95,2605.34
59,2147.774575948715,2558.87,2569.65
60,2166.104882001877,2539.16,2570.67
61,2182.6773993968964,2547.01,2587.52
62,2200.004275560379,2546.06,2541.24
63,2238.673307657242,2550.97,2575.82
64,2256.250184059143,2553.48,2596.78
65,2284.122579097748,2531.23,2564.57
66,2302.703611135483,2553.99,2550.25
67,2324.801388978958,2549.59,2594.45
68,2357.443948984146,2534.05,2590.93
69,2439.8046135902405,2558.43,2568.66
70,2442.818033695221,2556.92,2558.87
71,2470.4390799999237,2552.91,2581.72
72,2563.094794511795,2551.58,2571.62
73,2629.385214805603,2550.34,2551.52
74,2680.107232093811,2528.35,2562.19
75,2737.8615877628326,2554.58,2537.1
76,2751.4209854602814,2529.8,2569.18
77,2850.855196237564,2560.74,2565.06
78,2940.2430527210236,2535.15,2582.2
79,2947.2735064029694,2546.34,2575.34
80,2948.277900457382,2543.04,2559.8
81,3020.091296195984,2543.62,2582.94
82,3061.2700440883636,2545.91,2546.71
83,3086.1278760433197,2536.85,2572.61
84,3091.903262615204,2535.26,2589.89
85,3094.9162158966064,2541.09,2575.5
86,3102.197919845581,2554.34,2563.21
87,3129.0653336048126,2545.05,2586.06
88,3154.4255509376526,2526.47,2561.09
89,3161.205190181732,2536.33,2596.23
90,3196.860762834549,2538.62,2586.66
91,3217.952300786972,2547.42,2563.53
92,3235.0269544124603,2540.0,2568.61
93,3239.2954409122467,2540.22,2541.92
94,3252.6043648719788,2549.97,2554.6
95,3269.929771900177,2535.44,2563.39
96,3327.6816630363464,2547.74,2553.47
97,3352.7912242412567,2554.03,2564.03
98,3354.0469019412994,2553.94,2544.17
99,3370.6188123226166,2530.6,2574.05
100,3374.636414527893,2526.69,2576.07
101,3410.543168783188,2526.27,2572.94
102,3480.5988833904266,2524.24,2547.75
103,3505.9594230651855,2552.96,2552.66
104,3539.6064314842224,2551.35,2538.3
