,Time,Win,VAin
0,3.7771482467651367,2131.48,2532.15
1,5.032793045043945,2229.13,2513.22
2,6.539093971252441,2353.61,2514.07
3,11.30983853340149,2460.64,2511.94
4,12.565349817276001,2481.11,2520.0
5,15.327619552612305,2492.56,2532.16
6,29.138153553009033,2522.84,2528.45
7,31.397950172424316,2520.56,2510.88
8,38.68020033836365,2514.9,2515.07
9,55.000903606414795,2505.87,2558.05
10,58.51599192619324,2510.69,2561.81
11,67.8064591884613,2523.61,2521.99
12,73.3304831981659,2525.55,2509.33
13,77.59921216964722,2520.99,2525.73
14,77.85026931762695,2518.36,2529.76
15,81.8679141998291,2511.22,2540.86
16,84.12752652168274,2504.4,2535.14
17,85.38331866264343,2506.65,2545.14
18,89.40067052841187,2496.49,2552.0
19,93.92125940322876,2498.06,2528.19
20,95.93013119697571,2501.19,2529.59
21,101.20309352874756,2511.96,2522.8
22,106.47615647315979,2528.55,2538.26
23,113.50660109519958,2520.65,2525.9
24,143.3866183757782,2526.21,2523.99
25,148.65972471237183,2514.87,2502.82
26,156.94589400291443,2496.16,2536.62
27,157.69913697242737,2496.09,2541.04
28,157.95022225379944,2496.09,2541.04
29,158.20145463943481,2497.54,2538.94
30,158.70346641540527,2497.54,2538.94
31,190.84325885772705,2507.08,2523.62
32,200.38472056388855,2502.42,2542.86
33,208.9220588207245,2511.6,2537.19
34,209.92641139030457,2517.35,2541.38
35,210.17785620689392,2517.35,2541.38
36,212.93976616859436,2519.6,2534.47
37,213.69285011291504,2518.05,2514.83
38,215.4505066871643,2519.9,2532.7
39,233.02698421478271,2504.49,2559.25
40,265.167272567749,2506.46,2524.26
41,316.39028239250183,2507.43,2556.99
42,328.9451506137848,2517.61,2507.26
43,332.209308385849,2517.15,2527.8
44,333.214026927948,2515.01,2518.03
45,342.504287481308,2506.34,2558.05
46,345.01514196395874,2498.63,2539.59
47,364.8515679836273,2517.2,2518.23
48,372.1332039833069,2517.33,2527.56
49,381.9258997440338,2502.55,2543.63
50,385.6924395561218,2497.79,2541.22
51,394.7318842411041,2518.59,2532.07
52,411.0531122684479,2510.83,2526.99
53,453.23697304725647,2493.97,2526.38
54,459.0120825767517,2502.31,2555.91
55,459.2632598876953,2502.31,2555.91
56,466.7962064743042,2510.2,2529.86
57,472.3200137615204,2520.71,2528.26
58,490.64994072914124,2506.49,2570.99
59,496.1744718551636,2505.62,2545.85
60,503.4558382034302,2510.43,2527.44
61,517.2660632133484,2519.59,2525.74
62,540.1156132221222,2508.81,2544.73
63,540.3668134212494,2508.81,2544.73
64,549.908301115036,2521.65,2509.09
65,560.9566264152527,2501.15,2528.22
66,565.22549700737,2499.78,2565.64
67,569.744969367981,2502.02,2536.36
68,595.3575956821442,2501.53,2503.22
69,601.8863010406494,2502.16,2547.09
70,605.401594877243,2504.39,2550.55
71,624.4846904277802,2521.14,2514.06
72,626.7449133396149,2517.91,2504.37
73,627.4978935718536,2516.55,2528.66
74,645.5766716003418,2504.64,2543.54
75,646.079176902771,2504.64,2543.54
76,665.1622524261475,2515.84,2522.91
77,674.4527499675751,2498.88,2527.81
78,692.7828557491302,2531.11,2530.77
79,693.535991191864,2532.6,2535.32
80,693.7870850563049,2532.6,2535.32
81,721.1573388576508,2508.88,2536.65
82,724.421629190445,2517.71,2548.36
83,731.9543871879578,2525.84,2523.35
84,733.9637537002563,2524.57,2517.29
85,749.280871629715,2509.77,2569.01
86,761.0819666385651,2522.78,2521.33
87,763.0907790660858,2523.92,2524.67
88,776.9012291431427,2505.68,2538.36
89,780.4165630340576,2502.53,2542.92
90,781.6717488765717,2502.44,2552.22
91,783.680614233017,2504.24,2552.03
92,797.4906830787659,2513.99,2511.57
93,808.2891361713409,2512.73,2510.24
94,809.2936027050018,2513.81,2546.76
95,817.3287577629089,2506.95,2544.66
96,820.8439016342163,2504.48,2552.97
97,824.1082048416138,2502.35,2527.08
98,837.1657404899597,2523.84,2520.98
99,840.1784243583679,2527.09,2546.55
100,845.2003004550934,2512.75,2536.44
101,853.4863600730896,2496.14,2542.29
102,870.0588097572327,2525.26,2536.68
103,870.8119776248932,2525.1,2526.34
104,879.349315404892,2516.16,2524.95
105,881.6090500354767,2509.32,2514.42
106,888.8910539150238,2498.34,2535.26
107,897.1771121025085,2509.3,2546.58
