,Time,Status,ErrorBF,ACIn
0,7.49540638923645,4.0,0.0,1.0
1,23.565932512283325,4.0,0.0,1.0
2,189.29484868049622,4.0,0.0,1.0
3,190.29899096488953,4.0,0.0,1.0
4,218.42300128936768,4.0,0.0,1.0
5,276.67864441871643,4.0,0.0,1.0
6,298.77630734443665,4.0,0.0,1.0
7,361.0496926307678,4.0,0.0,1.0
8,452.4516553878784,4.0,0.0,1.0
9,580.0146293640137,4.0,0.0,1.0
10,611.1513187885284,4.0,0.0,1.0
11,631.2395334243774,4.0,0.0,1.0
12,639.2758679389954,4.0,0.0,1.0
13,690.500433921814,4.0,0.0,1.0
14,732.6867036819458,4.0,0.0,1.0
15,805.001871585846,4.0,0.0,1.0
16,879.323881149292,4.0,0.0,1.0
17,888.3628067970276,4.0,0.0,1.0
18,912.467916727066,4.0,0.0,1.0
19,1086.2204859256744,4.0,0.0,1.0
20,1090.2376894950867,4.0,0.0,1.0
21,1128.40487408638,4.0,0.0,1.0
22,1135.4362580776215,4.0,0.0,1.0
23,1149.4977400302887,4.0,0.0,1.0
24,1167.5746116638184,4.0,0.0,1.0
25,1199.7153956890106,4.0,0.0,1.0
26,1216.7896883487701,4.0,0.0,1.0
27,1244.9125339984894,4.0,0.0,1.0
28,1253.951765537262,4.0,0.0,1.0
29,1280.064659833908,4.0,0.0,1.0
30,1378.495033979416,4.0,0.0,1.0
31,1402.5991921424866,4.0,0.0,1.0
32,1408.6257908344269,4.0,0.0,1.0
33,1451.8136765956879,4.0,0.0,1.0
34,1457.8404364585876,4.0,0.0,1.0
35,1493.9974024295807,4.0,0.0,1.0
36,1551.2480852603912,4.0,0.0,1.0
37,1716.9715621471405,4.0,0.0,1.0
38,1719.9848141670227,4.0,0.0,1.0
39,1724.0024962425232,4.0,0.0,1.0
40,1772.212658882141,4.0,0.0,1.0
41,1776.2308104038239,4.0,0.0,1.0
42,1823.4382362365723,4.0,0.0,1.0
43,1931.9120514392853,4.0,0.0,1.0
44,1947.9820580482483,4.0,0.0,1.0
45,1949.9910593032837,4.0,0.0,1.0
46,1982.1313910484314,4.0,0.0,1.0
47,2076.545109272003,4.0,0.0,1.0
48,2101.6554012298584,4.0,0.0,1.0
49,2139.823219537735,4.0,0.0,1.0
50,2162.924545288086,4.0,0.0,1.0
51,2179.9992640018463,4.0,0.0,1.0
52,2193.056450366974,4.0,0.0,1.0
53,2204.1062228679657,4.0,0.0,1.0
54,2259.347774028778,4.0,0.0,1.0
55,2264.3698058128357,4.0,0.0,1.0
56,2324.6344578266144,4.0,0.0,1.0
57,2367.8229880332947,4.0,0.0,1.0
58,2407.998941421509,4.0,0.0,1.0
59,2429.09139919281,4.0,0.0,1.0
60,2430.096405506134,4.0,0.0,1.0
61,2432.104665517807,4.0,0.0,1.0
62,2478.307217359543,4.0,0.0,1.0
63,2503.41721367836,4.0,0.0,1.0
64,2510.4479715824127,4.0,0.0,1.0
65,2579.7512998580933,4.0,0.0,1.0
66,2612.8964257240295,4.0,0.0,1.0
67,2623.9449334144592,4.0,0.0,1.0
68,2725.39062833786,4.0,0.0,1.0
69,2755.522467851639,4.0,0.0,1.0
70,2820.8074491024017,4.0,0.0,1.0
71,2831.8553442955017,4.0,0.0,1.0
72,2927.270528316498,4.0,0.0,1.0
73,2987.5320916175842,4.0,0.0,1.0
74,3007.620317697525,4.0,0.0,1.0
75,3012.6422078609467,4.0,0.0,1.0
76,3030.720561981201,4.0,0.0,1.0
77,3034.738535642624,4.0,0.0,1.0
78,3037.751223087311,4.0,0.0,1.0
79,3061.856861591339,4.0,0.0,1.0
80,3073.9086220264435,4.0,0.0,1.0
81,3100.0219740867615,4.0,0.0,1.0
82,3147.2283289432526,4.0,0.0,1.0
83,3164.301985502243,4.0,0.0,1.0
84,3261.728290081024,4.0,0.0,1.0
85,3273.7801229953766,4.0,0.0,1.0
86,3289.850498199463,4.0,0.0,1.0
87,3380.2443873882294,4.0,0.0,1.0
88,3395.310379743576,4.0,0.0,1.0
89,3421.4239242076874,4.0,0.0,1.0
