,Time,Vinv,Iinv,Finv
0,2.026124954223633,119.8,21.2,59.99
1,6.043622255325317,119.9,21.3,59.99
2,8.303710222244263,119.9,21.2,59.99
3,11.567745208740234,119.9,21.2,59.99
4,20.607744455337524,120.0,21.1,59.99
5,47.224881172180176,120.0,21.2,59.99
6,47.72689723968506,119.9,21.2,59.99
7,54.255425691604614,119.9,21.1,59.99
8,59.779767751693726,119.9,20.9,59.99
9,63.29489731788635,120.0,21.2,59.99
10,63.54624342918396,120.0,21.2,59.99
11,67.81472134590149,119.9,21.2,59.99
12,68.81928253173828,119.9,21.3,59.99
13,78.36104559898376,120.0,21.2,59.99
14,96.69149708747864,119.9,21.0,59.99
15,120.29477906227112,120.0,21.2,59.99
16,134.10521292686462,119.9,21.2,59.99
17,142.3915023803711,119.9,21.4,59.99
18,146.91164636611938,119.9,21.3,59.99
19,147.66468787193298,119.9,21.4,59.99
20,149.17131114006042,120.0,21.5,59.99
21,160.97289633750916,120.0,21.2,59.99
22,178.8021321296692,119.8,21.4,59.99
23,182.81952166557312,119.9,21.2,59.99
24,183.8238663673401,120.1,21.2,59.99
25,203.91222834587097,120.0,21.3,59.99
26,210.440495967865,120.0,21.2,59.99
27,218.2247211933136,119.9,21.3,59.99
28,227.76676106452942,119.9,21.4,59.99
29,228.26863861083984,119.9,21.4,59.99
30,246.8501992225647,119.9,21.0,59.99
31,251.1187403202057,120.0,21.3,59.99
32,271.2067925930023,119.9,21.1,59.99
33,271.4579179286957,119.9,21.1,59.99
34,271.7089583873749,120.0,21.2,59.99
35,274.7223780155182,120.1,21.3,59.99
36,281.50186109542847,120.0,21.0,59.99
37,281.75290846824646,120.0,21.2,59.99
38,294.0566849708557,119.9,21.3,59.99
39,305.85972690582275,119.8,21.2,59.99
40,307.61736536026,119.9,21.1,59.99
41,310.1281611919403,120.0,21.0,59.99
42,325.19440722465515,119.9,21.3,59.99
43,337.24703884124756,119.9,21.4,59.99
44,342.26900815963745,119.9,21.2,59.99
45,358.8415427207947,120.0,21.1,59.99
46,366.1235783100128,119.9,21.4,59.99
47,370.39245223999023,120.0,21.2,59.99
48,377.9253544807434,119.9,21.3,59.99
49,387.9694490432739,120.0,21.2,59.99
50,395.0002408027649,119.9,21.2,59.99
51,400.7754032611847,119.9,21.4,59.99
52,404.29082202911377,120.0,21.4,59.99
53,407.80613255500793,119.9,21.4,59.99
54,411.07053780555725,119.9,21.4,59.99
55,418.6034381389618,119.9,21.1,59.99
56,419.8587489128113,119.9,21.1,59.99
57,423.12323927879333,119.9,21.0,59.99
58,426.6387519836426,120.0,21.1,59.99
59,433.66935896873474,119.9,21.2,59.99
60,439.94704580307007,119.9,21.4,59.99
61,478.616375207901,119.9,21.3,59.99
62,484.3916018009186,120.0,21.3,59.99
63,489.66471219062805,120.0,21.0,59.99
64,495.6913366317749,120.0,21.2,59.99
65,501.9684679508209,119.8,21.3,59.99
66,505.7353844642639,119.9,21.2,59.99
67,514.2726771831512,119.9,21.4,59.99
68,517.0349595546722,119.9,21.3,59.99
69,526.3252365589142,119.9,21.3,59.99
70,578.55322432518,120.0,21.2,59.99
71,580.310788154602,119.9,21.2,59.99
72,582.8214802742004,119.9,21.4,59.99
73,608.9332616329193,119.9,21.3,59.99
74,612.1972115039825,119.9,21.1,59.99
75,613.4527599811554,120.0,21.2,59.99
76,616.7165377140045,119.9,21.3,59.99
77,618.976459980011,120.0,21.1,59.99
78,623.2444949150085,119.9,21.2,59.99
79,627.2617826461792,119.9,21.4,59.99
80,644.0839278697968,119.9,21.1,59.99
81,648.6035537719727,119.9,21.2,59.99
82,660.4043281078339,119.9,21.4,59.99
83,660.6551203727722,119.9,21.4,59.99
84,660.9065010547638,119.9,21.4,59.99
85,666.932195186615,119.9,21.4,59.99
86,670.6984069347382,119.9,21.4,59.99
87,674.2134716510773,119.9,21.2,59.99
88,674.7155873775482,119.9,21.2,59.99
89,679.7372136116028,120.0,21.1,59.99
90,681.9970355033875,120.0,21.1,59.99
91,695.0531077384949,119.8,21.3,59.99
92,699.3215141296387,119.9,21.3,59.99
93,701.0792376995087,119.9,21.3,59.99
94,709.8667206764221,120.0,21.1,59.99
95,715.8926618099213,119.9,21.1,59.99
96,717.650312423706,119.9,21.1,59.99
97,742.2562792301178,120.0,21.3,59.99
98,749.0352418422699,119.9,21.3,59.99
99,753.0530753135681,120.0,21.2,59.99
100,764.8537600040436,120.0,21.4,59.99
101,773.6417059898376,119.9,21.3,59.99
102,775.9014678001404,119.9,21.3,59.99
103,819.8410482406616,119.9,21.2,59.99
104,822.3519473075867,119.9,21.2,59.99
105,823.6072854995728,119.8,21.0,59.99
106,823.8587071895599,119.8,21.0,59.99
107,834.4040350914001,120.0,21.3,59.99
108,835.6595430374146,119.8,21.3,59.99
109,837.4171116352081,119.9,21.4,59.99
110,857.5036015510559,119.9,21.1,59.99
111,868.0489988327026,119.9,21.0,59.99
112,871.0623624324799,120.0,21.5,59.99
113,876.3352286815643,119.9,21.5,59.99
114,882.8634414672852,119.9,21.4,59.99
115,890.3958485126495,119.9,21.2,59.99
