,Time,Status,ErrorBF,ACIn
0,26.06857466697693,4.0,0.0,1.0
1,42.13903522491455,4.0,0.0,1.0
2,80.30619859695435,4.0,0.0,1.0
3,104.41208362579346,4.0,0.0,1.0
4,150.43487191200256,4.0,0.0,1.0
5,180.56295943260193,4.0,0.0,1.0
6,196.62975978851318,4.0,0.0,1.0
7,213.70284152030945,4.0,0.0,1.0
8,229.77447390556335,4.0,0.0,1.0
9,235.80016326904297,4.0,0.0,1.0
10,277.04511189460754,4.0,0.0,1.0
11,295.13509368896484,4.0,0.0,1.0
12,299.1547462940216,4.0,0.0,1.0
13,312.20932507514954,4.0,0.0,1.0
14,362.4265613555908,4.0,0.0,1.0
15,371.4680619239807,4.0,0.0,1.0
16,394.5744135379791,4.0,0.0,1.0
17,411.65372467041016,4.0,0.0,1.0
18,413.66314458847046,4.0,0.0,1.0
19,422.7067382335663,4.0,0.0,1.0
20,440.77001571655273,4.0,0.0,1.0
21,473.88915061950684,4.0,0.0,1.0
22,501.00131392478943,4.0,0.0,1.0
23,504.0140001773834,4.0,0.0,1.0
24,513.0527992248535,4.0,0.0,1.0
25,523.096040725708,4.0,0.0,1.0
26,629.5547995567322,4.0,0.0,1.0
27,636.5846879482269,4.0,0.0,1.0
28,638.593122959137,4.0,0.0,1.0
29,641.6064298152924,4.0,0.0,1.0
30,645.6237034797668,4.0,0.0,1.0
31,684.7949917316437,4.0,0.0,1.0
32,719.9498009681702,4.0,0.0,1.0
33,764.145510673523,4.0,0.0,1.0
34,799.2996945381165,4.0,0.0,1.0
35,861.5625996589661,4.0,0.0,1.0
36,917.8007023334503,4.0,0.0,1.0
37,961.9901134967804,4.0,0.0,1.0
38,1000.1545252799988,4.0,0.0,1.0
39,1088.5386638641357,4.0,0.0,1.0
40,1089.5430800914764,4.0,0.0,1.0
41,1116.6610264778137,4.0,0.0,1.0
42,1120.678550004959,4.0,0.0,1.0
43,1146.7922871112823,4.0,0.0,1.0
44,1170.8974590301514,4.0,0.0,1.0
45,1186.9679362773895,4.0,0.0,1.0
46,1223.1259763240814,4.0,0.0,1.0
47,1229.1522283554077,4.0,0.0,1.0
48,1250.2444088459015,4.0,0.0,1.0
49,1280.3763749599457,4.0,0.0,1.0
50,1332.6060156822205,4.0,0.0,1.0
51,1370.7783889770508,4.0,0.0,1.0
52,1395.8911118507385,4.0,0.0,1.0
53,1431.0492479801178,4.0,0.0,1.0
54,1433.0582065582275,4.0,0.0,1.0
55,1522.4583194255829,4.0,0.0,1.0
56,1583.7316768169403,4.0,0.0,1.0
57,1587.7507050037384,4.0,0.0,1.0
58,1696.2303040027618,4.0,0.0,1.0
59,1710.292293548584,4.0,0.0,1.0
60,1830.8262288570404,4.0,0.0,1.0
61,1897.1187241077423,4.0,0.0,1.0
62,1937.2960810661316,4.0,0.0,1.0
63,1993.5436522960663,4.0,0.0,1.0
64,2027.6954481601715,4.0,0.0,1.0
65,2058.8323333263397,4.0,0.0,1.0
66,2111.0630939006805,4.0,0.0,1.0
67,2118.093998193741,4.0,0.0,1.0
68,2162.287749528885,4.0,0.0,1.0
69,2167.3103547096252,4.0,0.0,1.0
70,2228.579838991165,4.0,0.0,1.0
71,2292.863712787628,4.0,0.0,1.0
72,2299.894564151764,4.0,0.0,1.0
73,2303.91170501709,4.0,0.0,1.0
74,2322.995411634445,4.0,0.0,1.0
75,2343.083762407303,4.0,0.0,1.0
76,2345.0924501419067,4.0,0.0,1.0
77,2399.3307840824127,4.0,0.0,1.0
78,2429.463688135147,4.0,0.0,1.0
79,2433.481218099594,4.0,0.0,1.0
80,2441.5162312984467,4.0,0.0,1.0
81,2460.5997593402863,4.0,0.0,1.0
82,2466.6261641979218,4.0,0.0,1.0
83,2501.781986951828,4.0,0.0,1.0
84,2507.806907892227,4.0,0.0,1.0
85,2512.8288769721985,4.0,0.0,1.0
86,2619.296330690384,4.0,0.0,1.0
87,2659.4726235866547,4.0,0.0,1.0
88,2711.7020230293274,4.0,0.0,1.0
89,2801.0945031642914,4.0,0.0,1.0
90,2803.103707075119,4.0,0.0,1.0
91,2810.134412050247,4.0,0.0,1.0
92,2875.4210805892944,4.0,0.0,1.0
93,2893.5006260871887,4.0,0.0,1.0
94,2954.769730567932,4.0,0.0,1.0
95,2979.8801715373993,4.0,0.0,1.0
96,3005.9946558475494,4.0,0.0,1.0
97,3017.0431644916534,4.0,0.0,1.0
98,3035.1229255199432,4.0,0.0,1.0
99,3104.4293031692505,4.0,0.0,1.0
100,3166.70254945755,4.0,0.0,1.0
101,3168.711258172989,4.0,0.0,1.0
102,3215.9189500808716,4.0,0.0,1.0
103,3224.9584662914276,4.0,0.0,1.0
104,3253.082218647003,4.0,0.0,1.0
105,3264.1308097839355,4.0,0.0,1.0
106,3325.399953365326,4.0,0.0,1.0
107,3328.413076400757,4.0,0.0,1.0
108,3365.576411008835,4.0,0.0,1.0
109,3450.951992034912,4.0,0.0,1.0
110,3455.973812818527,4.0,0.0,1.0
111,3463.004560470581,4.0,0.0,1.0
112,3489.1194036006927,4.0,0.0,1.0
113,3575.500098466873,4.0,0.0,1.0
