,Time,Winv,VAinv
0,2.026536464691162,1876.09,2530.11
1,9.810873031616211,2472.85,2553.52
2,11.819394588470459,2491.56,2531.68
3,12.321386098861694,2491.56,2531.68
4,23.62103295326233,2518.37,2572.99
5,44.46291399002075,2528.48,2542.41
6,49.736027240753174,2518.59,2565.86
7,79.86798858642578,2528.91,2538.0
8,81.6254370212555,2527.04,2541.1
9,87.40095806121826,2525.83,2567.99
10,89.4097204208374,2515.46,2541.21
11,97.69637060165405,2528.2,2566.99
12,104.22492170333862,2544.13,2553.92
13,109.24690771102905,2543.92,2536.43
14,113.26445651054382,2548.48,2550.64
15,129.58584094047546,2517.44,2560.8
16,140.3833146095276,2539.62,2543.75
17,150.67817568778992,2541.87,2545.22
18,160.97313141822815,2515.86,2557.95
19,180.8111274242401,2546.18,2529.84
20,184.07531428337097,2539.71,2530.46
21,185.07980370521545,2538.02,2528.34
22,185.33135414123535,2538.01,2538.55
23,187.33964681625366,2532.25,2531.06
24,202.15429973602295,2525.93,2595.88
25,204.4143099784851,2527.07,2569.4
26,214.2074613571167,2539.45,2544.41
27,216.46726059913635,2540.89,2538.06
28,227.76692581176758,2534.2,2555.31
29,239.31727004051208,2519.21,2565.44
30,245.34359622001648,2530.78,2569.81
31,255.889967918396,2545.68,2554.48
32,257.1453082561493,2545.71,2544.75
33,261.4139811992645,2537.13,2530.76
34,266.1850335597992,2528.52,2541.82
35,273.46686720848083,2520.37,2558.99
36,292.0486001968384,2550.1,2541.41
37,292.550434589386,2550.1,2541.41
38,298.8281440734863,2532.36,2523.24
39,302.59455585479736,2532.94,2541.61
40,303.3477506637573,2526.52,2538.03
41,322.1814024448395,2542.31,2559.7
42,338.2519443035126,2530.97,2548.54
43,341.5162456035614,2522.89,2530.91
44,346.0360097885132,2522.85,2563.52
45,364.1151466369629,2540.35,2550.04
46,366.62606167793274,2543.54,2557.54
47,391.23408341407776,2528.82,2554.11
48,409.56448340415955,2539.92,2546.3
49,412.326299905777,2527.73,2544.13
50,425.3835198879242,2522.01,2572.91
51,428.14531993865967,2526.28,2566.29
52,430.6570580005646,2539.27,2586.9
53,435.1762738227844,2540.3,2548.27
54,459.0309340953827,2519.66,2554.9
55,463.0484662055969,2524.83,2559.53
56,481.88091373443604,2533.92,2531.49
57,494.436137676239,2516.72,2553.31
58,511.00862431526184,2541.55,2516.23
59,512.2642698287964,2544.23,2543.09
60,521.8061084747314,2537.88,2563.8
61,530.5943737030029,2521.56,2564.0
62,533.105372428894,2527.51,2585.14
63,536.8720645904541,2527.42,2561.16
64,539.8861835002899,2533.94,2566.22
65,545.4102761745453,2539.04,2540.24
66,554.4499156475067,2547.47,2548.76
67,577.0471127033234,2540.36,2566.51
68,582.0686511993408,2548.58,2561.51
69,624.2491736412048,2540.49,2556.07
70,630.0243244171143,2534.02,2533.83
71,637.8073389530182,2524.52,2571.78
72,657.1407694816589,2545.52,2548.85
73,674.4652783870697,2521.93,2558.68
74,680.4908955097198,2519.63,2557.95
75,687.5209984779358,2532.36,2548.71
76,687.7719583511353,2532.36,2548.71
77,716.1440322399139,2521.94,2565.27
78,719.9108011722565,2524.66,2569.25
79,720.4124014377594,2524.66,2569.25
80,729.4510703086853,2544.51,2543.9
81,734.4731159210205,2547.73,2549.75
82,735.4773523807526,2545.11,2530.48
83,741.0012726783752,2530.82,2521.36
84,751.0448927879333,2525.96,2572.96
85,752.3001518249512,2528.31,2567.39
86,759.0797345638275,2545.55,2548.4
87,759.3307139873505,2545.55,2548.4
88,767.1140110492706,2544.36,2540.55
89,790.966757774353,2526.94,2566.67
90,801.0102500915527,2544.25,2548.84
91,813.0622298717499,2528.25,2555.46
92,837.6687688827515,2545.89,2556.57
93,839.9283175468445,2545.34,2533.13
94,842.9412367343903,2544.28,2546.35
95,844.6985900402069,2536.84,2529.09
96,845.4517962932587,2536.82,2542.3
97,849.9713904857635,2526.82,2545.87
98,863.0280258655548,2527.39,2548.95
99,877.5906980037689,2547.97,2550.11
100,883.1150348186493,2538.42,2546.88
101,897.4263319969177,2523.49,2562.39
