,Time,NA1,NA2,L1Link,L2Link
0,8.89718770980835,0.0,0.0,259.0,244.0
1,12.914567232131958,0.0,0.0,260.0,245.0
2,16.932580947875977,0.0,0.0,262.0,241.0
3,18.941357851028442,0.0,0.0,262.0,241.0
4,29.99022674560547,0.0,0.0,255.0,248.0
5,39.02972960472107,0.0,0.0,260.0,245.0
6,43.04756140708923,0.0,0.0,259.0,246.0
7,46.06057000160217,0.0,0.0,261.0,242.0
8,47.06474208831787,0.0,0.0,257.0,247.0
9,91.2589020729065,0.0,0.0,264.0,240.0
10,94.27157425880432,0.0,0.0,255.0,249.0
11,96.28037023544312,0.0,0.0,255.0,249.0
12,113.35532236099243,0.0,0.0,260.0,245.0
13,116.36837553977966,0.0,0.0,260.0,245.0
14,118.37747693061829,0.0,0.0,261.0,243.0
15,124.40361595153809,0.0,0.0,263.0,241.0
16,133.44331073760986,0.0,0.0,255.0,249.0
17,134.44759154319763,0.0,0.0,264.0,240.0
18,142.4833164215088,0.0,0.0,263.0,242.0
19,157.54939365386963,0.0,0.0,262.0,243.0
20,166.58833241462708,0.0,0.0,255.0,249.0
21,179.64654898643494,0.0,0.0,263.0,241.0
22,185.67298316955566,0.0,0.0,261.0,245.0
23,203.7520890235901,0.0,0.0,256.0,249.0
24,208.77424359321594,0.0,0.0,265.0,240.0
25,218.8183114528656,0.0,0.0,262.0,243.0
26,225.84895730018616,0.0,0.0,260.0,244.0
27,233.88450646400452,0.0,0.0,263.0,240.0
28,252.96828603744507,0.0,0.0,256.0,249.0
29,256.98526763916016,0.0,0.0,257.0,246.0
30,284.10416626930237,0.0,0.0,255.0,250.0
31,287.1177809238434,0.0,0.0,263.0,241.0
32,291.134957075119,0.0,0.0,262.0,243.0
33,292.1393177509308,0.0,0.0,257.0,247.0
34,307.2066206932068,0.0,0.0,257.0,247.0
35,309.2153866291046,0.0,0.0,257.0,248.0
36,313.23317289352417,0.0,0.0,255.0,249.0
37,317.2502725124359,0.0,0.0,256.0,250.0
38,319.25931191444397,0.0,0.0,255.0,249.0
39,320.2634792327881,0.0,0.0,264.0,240.0
40,321.2681746482849,0.0,0.0,255.0,248.0
41,337.33875155448914,0.0,0.0,260.0,243.0
42,340.3516547679901,0.0,0.0,257.0,247.0
43,345.37381863594055,0.0,0.0,263.0,241.0
44,356.4221348762512,0.0,0.0,255.0,250.0
45,361.444130897522,0.0,0.0,263.0,242.0
46,370.483767747879,0.0,0.0,258.0,245.0
47,380.5273323059082,0.0,0.0,262.0,241.0
