,Time,Vinv,Iinv,Finv
0,102.49241375923157,119.3,21.3,59.99
1,217.55850386619568,119.3,21.2,59.99
2,248.47601318359375,119.3,21.3,59.99
3,269.09335684776306,119.3,21.1,59.99
4,303.76340985298157,119.3,21.1,59.99
5,329.6197142601013,119.3,21.2,59.99
6,344.9368040561676,119.3,21.0,59.99
7,357.74443554878235,119.3,21.2,59.99
8,371.80809354782104,119.3,21.0,59.99
9,374.57091426849365,119.3,21.0,59.99
10,430.579626083374,119.3,21.2,59.99
11,461.1790668964386,119.3,21.0,59.99
12,512.3887550830841,119.3,21.1,59.99
13,585.4535570144653,119.3,21.4,59.99
14,673.8357632160187,119.3,21.0,59.99
15,691.4127316474915,119.2,21.3,59.99
16,695.9328479766846,119.3,21.3,59.99
17,713.2584457397461,119.4,21.0,59.99
18,753.5128173828125,119.3,21.1,59.99
19,776.363447189331,119.3,21.0,59.99
20,833.3608951568604,119.2,21.1,59.99
21,849.6823213100433,119.2,21.1,59.99
22,850.1831789016724,119.4,21.1,59.99
23,879.8105139732361,119.3,21.3,59.99
24,891.1077935695648,119.5,21.0,59.99
25,898.6397836208344,119.2,21.2,59.99
26,906.4233548641205,119.2,21.3,59.99
27,941.5740857124329,119.2,21.3,59.99
28,968.4398367404938,119.3,21.1,59.99
29,988.2751586437225,119.4,21.1,59.99
30,1002.587485074997,119.3,20.9,59.99
31,1020.9176454544067,119.2,21.3,59.99
32,1093.4847362041473,119.2,21.2,59.99
33,1102.2748217582703,119.3,21.0,59.99
34,1124.6202936172485,119.3,21.2,59.99
35,1183.6289167404175,119.3,21.0,59.99
36,1247.6588699817657,119.3,21.2,59.99
37,1274.7788848876953,119.2,21.2,59.99
38,1275.0297620296478,119.2,21.2,59.99
39,1293.862004995346,119.2,21.0,59.99
40,1294.6152455806732,119.2,21.0,59.99
41,1314.452145576477,119.3,21.2,59.99
42,1316.2098820209503,119.3,21.2,59.99
43,1363.4216921329498,119.4,21.1,59.99
44,1407.8714253902435,119.4,21.1,59.99
45,1457.093032360077,119.3,21.2,59.99
46,1470.402603149414,119.3,21.0,59.99
47,1472.1603844165802,119.3,20.9,59.99
48,1502.7977373600006,119.3,21.0,59.99
49,1507.3178851604462,119.3,21.1,59.99
50,1531.1742327213287,119.2,21.2,59.99
51,1549.2545161247253,119.3,21.0,59.99
52,1641.665322303772,119.3,21.2,59.99
53,1671.2965052127838,119.3,21.2,59.99
54,1698.9189195632935,119.3,21.0,59.99
55,1704.1922404766083,119.2,21.1,59.99
56,1769.481052160263,119.3,21.0,59.99
57,1847.0747210979462,119.2,21.0,59.99
58,1884.2387647628784,119.3,21.0,59.99
59,1896.7941615581512,119.3,21.3,59.99
60,1906.3363122940063,119.4,21.2,59.99
61,1913.1160817146301,119.2,20.9,59.99
62,1930.6936359405518,119.2,21.2,59.99
63,1945.0067009925842,119.4,21.1,59.99
64,1977.6506814956665,119.3,21.2,59.99
65,1982.672841310501,119.3,21.0,59.99
66,2041.1814224720001,119.4,21.1,59.99
67,2048.2123684883118,119.3,21.2,59.99
68,2110.4868862628937,119.2,21.2,59.99
69,2138.1081562042236,119.3,21.1,59.99
70,2167.989841222763,119.3,20.9,59.99
71,2220.470750808716,119.2,21.1,59.99
72,2230.2641682624817,119.2,21.3,59.99
73,2279.229395389557,119.3,21.0,59.99
74,2296.05402469635,119.2,21.1,59.99
75,2307.85587143898,119.2,21.1,59.99
76,2346.275021791458,119.3,21.0,59.99
77,2390.4686419963837,119.3,20.9,59.99
78,2436.671379804611,119.2,21.1,59.99
79,2438.680194377899,119.2,21.2,59.99
80,2464.292984008789,119.2,21.1,59.99
81,2473.3325505256653,119.2,21.2,59.99
82,2581.5570764541626,119.3,21.3,59.99
83,2608.42547416687,119.3,21.1,59.99
84,2615.2052640914917,119.3,21.2,59.99
85,2701.3331112861633,119.3,21.3,59.99
86,2725.439043521881,119.1,21.1,59.99
87,2767.373316526413,119.2,21.2,59.99
88,2882.1275424957275,119.2,21.2,59.99
89,2898.4492638111115,119.3,20.9,59.99
90,2899.7049231529236,119.3,21.0,59.99
91,2900.96044254303,119.3,21.1,59.99
92,3023.498824596405,119.2,21.3,59.99
93,3132.478956222534,119.1,21.2,59.99
94,3134.236837863922,119.2,21.3,59.99
95,3142.021001815796,119.3,21.1,59.99
96,3274.352549791336,119.2,21.3,59.99
97,3295.9471321105957,119.1,21.0,59.99
98,3328.0885713100433,119.3,21.1,59.99
99,3374.0406062602997,119.2,21.1,59.99
100,3393.877871274948,119.2,21.3,59.99
101,3444.8518373966217,119.1,21.1,59.99
102,3447.61386346817,119.3,21.0,59.99
103,3524.2007071971893,119.2,21.0,59.99
104,3529.4733667373657,119.3,21.1,59.99
105,3596.770206928253,119.3,21.0,59.99
